,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
195,1620658,0.05,True,Oud-Oost,52.34,4.914,Entire home/apt,2,1,1,1,125.0,3,1125,True,0,0,4,True,62.5,375.0,0.06,0.18,0.17,4.99,0.0,507.5342465753425
196,1631878,0.05,True,Zuid,52.38,4.883,Entire home/apt,4,2,3,16,475.0,5,1125,True,0,1,4,True,118.75,2375.0,0.07,0.08,0.2,10.99,0.4246575342465753,2375.0
197,1645011,0.46,True,Centrum-Oost,52.38,4.89,Entire home/apt,4,2,3,13,397.0,3,1125,True,0,0,4,True,99.25,1191.0,0.13,0.2,0.3,4.99,0.00821917808219178,1964.4520547945206
198,1649932,0.72,True,Centrum-Oost,52.38,4.9,Entire home/apt,3,2,2,7,125.0,5,30,True,0,0,5,True,41.66,625.0,0.07,0.11,0.19,4.99,0.0,625.0
199,1657879,0.0,True,De Baarsjes - Oud-West,52.34,4.855,Entire home/apt,3,2,2,9,119.0,6,30,True,0,0,4,True,39.66,714.0,0.07,0.13,0.19,4.99,0.0,595.0
200,1662676,0.0,True,Centrum-West,52.38,4.883,Entire home/apt,2,1,2,3,100.0,15,30,True,0,0,4,True,50.0,1500.0,0.07,0.12,0.14,4.99,0.0,500.0
201,1681041,0.0,True,Zuid,52.34,4.883,Entire home/apt,6,3,4,9,200.0,7,300,True,0,0,5,True,33.34,1400.0,0.11,0.15,0.22,4.99,0.038356164383561646,1056.7397260273972
202,1708637,0.81,True,De Pijp - Rivierenbuurt,52.34,4.9,Private room,2,1,1,4,84.0,3,31,True,3,3,4,True,42.0,252.0,0.06,0.11,0.15,4.99,0.6109589041095891,446.4931506849315
203,1713147,0.01,True,De Pijp - Rivierenbuurt,52.34,4.895,Entire home/apt,6,3,4,10,299.0,4,1125,True,0,0,4,True,49.84,1196.0,0.08,0.22,0.26,4.99,0.021917808219178082,1495.0
204,1723463,0.0,True,Watergraafsmeer,52.34,4.938,Entire home/apt,4,2,4,15,200.0,5,21,True,0,0,4,True,50.0,1000.0,0.07,0.15,0.22,4.99,0.4246575342465753,1000.0
205,1727103,0.0,True,De Pijp - Rivierenbuurt,52.34,4.91,Entire home/apt,4,2,3,9,175.0,3,1125,True,0,0,4,True,43.75,525.0,0.09,0.2,0.22,4.99,0.0,1233.4246575342465
206,1731246,0.0,True,De Pijp - Rivierenbuurt,52.34,4.89,Entire home/apt,4,2,2,5,273.0,3,1125,True,2,0,4,True,68.25,819.0,0.09,0.23,0.28,4.99,0.07945205479452055,1121.849315068493
207,1733772,0.56,True,Oud-Noord,52.38,4.938,Entire home/apt,2,1,1,6,180.0,3,14,True,0,0,4,True,90.0,540.0,0.07,0.1,0.17,4.99,0.14520547945205478,900.0
208,1734564,0.51,True,Centrum-West,52.38,4.89,Entire home/apt,2,1,1,12,229.0,3,1125,True,0,3,4,True,114.5,687.0,0.07,0.12,0.21,4.99,0.00821917808219178,1145.0
209,1734769,1.0,True,Geuzenveld - Slotermeer,52.38,4.836,Entire home/apt,4,2,4,10,245.0,5,30,True,0,0,4,True,61.25,1225.0,0.08,0.25,0.21,4.99,0.07945205479452055,1855.13698630137
210,1766570,0.83,True,Centrum-Oost,52.38,4.887,Entire home/apt,4,2,2,18,332.0,7,180,True,5,0,4,True,83.0,2324.0,0.09,0.25,0.25,4.99,0.1178082191780822,1595.4109589041095
211,1771760,1.0,True,Bos en Lommer,52.38,4.85,Private room,2,1,1,5,82.0,4,21,True,0,1,4,True,41.0,328.0,0.06,0.07,0.16,4.99,0.0,355.1095890410959
212,1792271,0.52,True,Westerpark,52.38,4.87,Entire home/apt,2,1,1,7,150.0,4,4,True,0,1,4,True,75.0,600.0,0.07,0.2,0.21,4.99,0.0,750.6849315068494
213,1798944,1.0,True,Centrum-West,52.38,4.887,Private room,2,1,1,3,60.0,3,30,True,6,5,4,True,30.0,180.0,0.07,0.14,0.17,2.99,0.6931506849315069,301.986301369863
214,1798945,0.0,True,Centrum-Oost,52.38,4.9,Entire home/apt,4,2,1,15,365.0,5,1125,True,0,0,4,True,91.25,1825.0,0.1,0.18,0.26,4.99,0.0,1853.9315068493152
215,1812581,0.5,True,De Baarsjes - Oud-West,52.38,4.86,Entire home/apt,4,2,3,13,400.0,4,365,True,0,0,4,True,100.0,1600.0,0.05,0.23,0.28,10.99,0.5917808219178082,2000.0
216,1828391,1.0,True,Noord-West,52.4,4.906,Entire home/apt,5,3,5,5,200.0,3,1125,True,0,0,4,True,40.0,600.0,0.1,0.15,0.2,4.99,0.0,1000.0
217,1831427,0.5,True,Centrum-Oost,52.38,4.926,Entire home/apt,2,1,1,5,120.0,4,21,True,2,0,3,True,60.0,480.0,0.08,0.13,0.2,4.99,0.4301369863013699,600.0
218,1845443,0.86,True,Westerpark,52.38,4.87,Entire home/apt,2,1,1,5,122.0,25,365,True,2,0,4,True,61.0,3050.0,0.04,0.13,0.19,4.99,0.005479452054794521,609.2465753424658
219,1863996,0.0,True,Bos en Lommer,52.38,4.855,Entire home/apt,2,1,2,2,75.0,3,1125,True,0,0,4,True,37.5,225.0,0.05,0.12,0.15,4.99,0.0,375.0
220,1901877,0.76,True,Centrum-West,52.38,4.887,Private room,2,1,2,3,105.0,3,1125,True,5,4,4,True,52.5,315.0,0.09,0.12,0.14,4.99,0.6876712328767123,525.0
221,1919184,0.75,True,De Baarsjes - Oud-West,52.38,4.863,Entire home/apt,3,2,2,12,299.0,2,10,True,10,0,4,True,99.7,598.0,0.08,0.29,0.2,4.99,0.09863013698630137,1330.8219178082193
222,1924485,0.76,True,De Pijp - Rivierenbuurt,52.34,4.89,Private room,4,1,4,1,95.0,3,1125,True,0,0,4,True,23.75,285.0,0.05,0.12,0.14,4.99,0.0,474.972602739726
